Age      lx_20   mx  lx_20mx  Exp   SAD(%)    Ex_20       Rx
0        1      0       0                0              0         95.91     0
1        1      0       0                0              0         94.91     0
2        1      0       0                0              0         93.91     0
3        1      0       0                0              0         92.91     0
4        1      0       0                0              0         91.91     0
5        1      0       0                0              0         90.91     0
6        1      0       0                0              0         89.91     0
7        1      0       0                0              0         88.91     0
8        1      0       0                0              0         87.91     0
9        1      0       0                0              0         86.91     0
10       1      0       0                0              0         85.91     0
11       1      0       0                0              0         84.91     0
12       1      0       0                0              0         83.91     0
13       1      0       0                0              0         82.91     0
14       1      0       0                0              0         81.91     0
15       1      0       0                0              0         80.91     0
16       1      0       0                0              0         79.91     0
17       1      0       0                0              0         78.91     0
18       1      0       0                0              0         77.91     0
19       1      0       0                0              0         76.91     0
20       1      0       0                0              0         75.91     0
21       1      0       0                0              0         74.91     0
22       1      0       0                0              0         73.91     0
23       1      0       0                0              0         72.91     0
24       1      0       0                0              0         71.91     0
25       1      0       0                0              0         70.91     0
26       1      0       0                0              0         69.91     0
27       1      0       0                0              0         68.91     0
28       1      0       0                0              0         67.91     0
29       1      0       0                0              0         66.91     0
30       0.97   0       0                0              0         67.97     0
31       0.97   0       0                0              0         66.97     0
32       0.97   0       0                0              0         65.97     0
33       0.97   0       0                0              0         64.97     0
34       0.97   0       0                0              0         63.97     0
35       0.97   0       0                0              0         62.97     0
36       0.97   0       0                0              0         61.97     0
37       0.939  0       0                0              0         62.94     0
38       0.939  0       0                0              0         61.94     0
39       0.939  0       0                0              0         60.94     0
40       0.939  0       0                0              0         59.94     0
41       0.939  0       0                0              0         58.94     0
42       0.939  0       0                0              0         57.94     0
43       0.939  0       0                0              0         56.94     0
44       0.939  0       0                0              0         55.94     0
45       0.939  0       0                0              0         54.94     0
46       0.939  0       0                0              0         53.94     0
47       0.909  0       0                0              0         54.7      0
48       0.909  0       0                0              0         53.7      0
49       0.909  0       0                0              0         52.7      0
50       0.909  0       0                0              0         51.7      0
51       0.909  0       0                0              0         50.7      0
52       0.909  0       0                0              0         49.7      0
53       0.909  0       0                0              0         48.7      0
54       0.909  0       0                0              0         47.7      0
55       0.909  0       0                0              0         46.7      0
56       0.879  0       0                0              0         47.28     0
57       0.879  0       0                0              0         46.28     0
58       0.879  0       0                0              0         45.28     0
59       0.879  0       0                0              0         44.28     0
60       0.879  0       0                0              0         43.28     0
61       0.848  0       0                0              0         43.79     0
62       0.848  0       0                0              0         42.79     0
63       0.818  0       0                0              0         43.33     0
64       0.818  0       0                0              0         42.33     0
65       0.818  0       0                0              0         41.33     0
66       0.818  0       0                0              0         40.33     0
67       0.818  0       0                0              0         39.33     0
68       0.818  0       0                0              0         38.33     0
69       0.818  0       0                0              0         37.33     0
70       0.818  0       0                0              0         36.33     0
71       0.788  0       0                0              0         36.69     0
72       0.788  0       0                0              0         35.69     0
73       0.788  0       0                0              0         34.69     0
74       0.788  0       0                0              0         33.69     0
75       0.788  0       0                0              0         32.69     0
76       0.788  0       0                0              0         31.69     0
77       0.758  0       0                0              0         31.92     0
78       0.758  0       0                0              0         30.92     0
79       0.758  0       0                0              0         29.92     0
80       0.758  0       0                0              0         28.92     0
81       0.758  0       0                0              0         27.92     0
82       0.758  0       0                0              0         26.92     0
83       0.758  0       0                0              0         25.92     0
84       0.697  0       0                0              0         27.09     0
85       0.667  0       0                0              0         27.27     0
86       0.667  0       0                0              0         26.27     0
87       0.667  0       0                0              0         25.27     0
88       0.576  0       0                0              0         28.11     0
89       0.576  0       0                0              0         27.11     0
90       0.576  0       0                0              0         26.11     0
91       0.545  0       0                0              0         26.5      0
92       0.545  0       0                0              0         25.5      0
93       0.515  0       0                0              0         25.94     0
94       0.515  0       0                0              0         24.94     0
95       0.515  0       0                0              0         23.94     0
96       0.515  0       0                0              0         22.94     0
97       0.515  0       0                0              0         21.94     0
98       0.515  0       0                0              0         20.94     0
99       0.485  0       0                0              0         21.19     0
100      0.485  0       0                0              0         20.19     0
101      0.455  0       0                0              0         20.47     0
102      0.424  0       0                0              0         20.86     0
103      0.424  0       0                0              0         19.86     0
104      0.424  0       0                0              0         18.86     0
105      0.394  0       0                0              0         19.23     0
106      0.394  0       0                0              0         18.23     0
107      0.364  0       0                0              0         18.67     0
108      0.364  0       0                0              0         17.67     0
109      0.303  0       0                0              0         20        0
110      0.303  0       0                0              0         19        0
111      0.242  0       0                0              0         22.5      0
112      0.242  0       0                0              0         21.5      0
113      0.212  0       0                0              0         23.43     0
114      0.212  0       0                0              0         22.43     0
115      0.212  0       0                0              0         21.43     0
116      0.212  0       0                0              0         20.43     0
117      0.212  0       0                0              0         19.43     0
118      0.212  0       0                0              0         18.43     0
119      0.182  0       0                0              0         20.33     0
120      0.182  0       0                0              0         19.33     0
121      0.182  0       0                0              0         18.33     0
122      0.182  0       0                0              0         17.33     0
123      0.182  0       0                0              0         16.33     0
124      0.182  0       0                0              0         15.33     0
125      0.182  0       0                0              0         14.33     0
126      0.182  0       0                0              0         13.33     0
127      0.182  0       0                0              0         12.33     0
128      0.152  0       0                0              0         13.6      0
129      0.152  0       0                0              0         12.6      0
130      0.152  0       0                0              0         11.6      0
131      0.152  0       0                0              0         10.6      0
132      0.152  0       0                0              0         9.6       0
133      0.121  0       0                0              0         10.75     0
134      0.121  0       0                0              0         9.75      0
135      0.121  0       0                0              0         8.75      0
136      0.121  0       0                0              0         7.75      0
137      0.121  0       0                0              0         6.75      0
138      0.121  0       0                0              0         5.75      0
139      0.121  0       0                0              0         4.75      0
140      0.061  0       0                0              0         7.5       0
141      0.061  0       0                0              0         6.5       0
142      0.061  0       0                0              0         5.5       0
143      0.061  0       0                0              0         4.5       0
144      0.061  0       0                0              0         3.5       0
145      0.061  0       0                0              0         2.5       0
146      0.03   0       0                0              0         3         0
147      0.03   0       0                0              0         2         0
148      0.03   0       0                0              0         1         0
