Age      lx_30   mx  lx_30mx  Ex_30p   SAD(%)    Ex_30       Rx
0        1      0       0                0              0         43.17     0
1        1      0       0                0              0         42.17     0 
2        1      0       0                0              0         41.17     0
3        1      0       0                0              0         40.17     0
4        1      0       0                0              0         39.17     0
5        1      0       0                0              0         38.17     0
6        1      0       0                0              0         37.17     0
7        1      0       0                0              0         36.17     0
8        1      0       0                0              0         35.17     0
9        1      0       0                0              0         34.17     0
10       1      0       0                0              0         33.17     0
11       1      0       0                0              0         32.17     0
12       1      0       0                0              0         31.17     0
13       1      0       0                0              0         30.17     0
14       1      0       0                0              0         29.17     0
15       1      0       0                0              0         28.17     0
16       1      0       0                0              0         27.17     0
17       1      0       0                0              0         26.17     0
18       1      0       0                0              0         25.17     0
19       1      0       0                0              0         24.17     0
20       1      0       0                0              0         23.17     0
21       1      0       0                0              0         22.17     0
22       1      0       0                0              0         21.17     0
23       1      0       0                0              0         20.17     0
24       1      0       0                0              0         19.17     0
25       1      0       0                0              0         18.17     0
26       1      0       0                0              0         17.17     0
27       1      0       0                0              0         16.17     0
28       0.975  0       0                0              0         15.56     0
29       0.975  0       0                0              0         14.56     0
30       0.95   0       0                0              0         13.92     0
31       0.925  0       0                0              0         13.27     0
32       0.9    0       0                0              0         12.61     0
33       0.875  0       0                0              0         11.94     0
34       0.825  0       0                0              0         11.61     0
35       0.775  0       0                0              0         11.29     0
36       0.75   0       0                0              0         10.63     0
37       0.7    0       0                0              0         10.32     0
38       0.65   0       0                0              0         10.04     0
39       0.625  0       0                0              0         9.4       0
40       0.6    0       0                0              0         8.75      0
41       0.55   0       0                0              0         8.45      0
42       0.5    0       0                0              0         8.2       0
43       0.5    0       0                0              0         7.2       0
44       0.45   0       0                0              0         6.89      0
45       0.425  0       0                0              0         6.24      0
46       0.425  0       0                0              0         5.24      0
47       0.4    0       0                0              0         4.5       0
48       0.325  0       0                0              0         4.31      0
49       0.275  0       0                0              0         3.91      0
50       0.225  0       0                0              0         3.56      0
51       0.2    0       0                0              0         2.87      0
52       0.15   0       0                0              0         2.5       0
53       0.075  0       0                0              0         3         0
54       0.075  0       0                0              0         2         0
55       0.05   0       0                0              0         1.5       0
56       0.025  0       0                0              0         1         0
